X,Y,Z
243436.841,1717567.088,395.372
243436.841,1717567.088,397.872
243439.341,1717559.588,395.372
243439.341,1717559.588,397.872
243439.341,1717562.088,395.372
243439.341,1717562.088,397.872
243441.841,1717559.588,395.372
243441.841,1717559.588,397.872
243441.841,1717562.088,395.372
243441.841,1717562.088,397.872
243439.341,1717564.588,395.372
243439.341,1717564.588,397.872
243439.341,1717567.088,395.372
243439.341,1717567.088,397.872
243441.841,1717564.588,395.372
243441.841,1717564.588,397.872
243441.841,1717567.088,395.372
243441.841,1717567.088,397.872
243444.341,1717554.588,395.372
243444.341,1717554.588,397.872
243444.341,1717557.088,395.372
243444.341,1717557.088,397.872
243446.841,1717554.588,395.372
243446.841,1717554.588,397.872
243446.841,1717557.088,395.372
243446.841,1717557.088,397.872
243449.341,1717552.088,395.372
243451.841,1717549.588,395.372
243451.841,1717552.088,395.372
243451.841,1717552.088,397.872
243449.341,1717554.588,395.372
243449.341,1717554.588,397.872
243449.341,1717557.088,395.372
243449.341,1717557.088,397.872
243451.841,1717554.588,395.372
243451.841,1717554.588,397.872
243451.841,1717557.088,395.372
243444.341,1717559.588,395.372
243444.341,1717559.588,397.872
243444.341,1717562.088,395.372
243444.341,1717562.088,397.872
243446.841,1717559.588,395.372
243446.841,1717559.588,397.872
243446.841,1717562.088,395.372
243446.841,1717562.088,397.872
243444.341,1717564.588,395.372
243444.341,1717564.588,397.872
243444.341,1717567.088,395.372
243444.341,1717567.088,397.872
243446.841,1717564.588,395.372
243446.841,1717564.588,397.872
243446.841,1717567.088,395.372
243446.841,1717567.088,397.872
243449.341,1717559.588,395.372
243449.341,1717559.588,397.872
243449.341,1717562.088,395.372
243449.341,1717562.088,397.872
243451.841,1717559.588,395.372
243451.841,1717562.088,395.372
243449.341,1717564.588,395.372
243449.341,1717564.588,397.872
243449.341,1717567.088,395.372
243451.841,1717564.588,395.372
243451.841,1717567.088,395.372
243421.841,1717579.588,390.372
243421.841,1717579.588,392.872
243421.841,1717582.088,390.372
243421.841,1717582.088,392.872
243419.341,1717587.088,390.372
243419.341,1717587.088,392.872
243421.841,1717584.588,390.372
243421.841,1717584.588,392.872
243421.841,1717587.088,390.372
243421.841,1717587.088,392.872
243431.841,1717569.588,382.872
243431.841,1717572.088,382.872
243426.841,1717569.588,385.372
243426.841,1717569.588,387.872
243426.841,1717572.088,385.372
243426.841,1717572.088,387.872
243424.341,1717572.088,390.372
243424.341,1717572.088,392.872
243426.841,1717569.588,390.372
243426.841,1717569.588,392.872
243426.841,1717572.088,390.372
243426.841,1717572.088,392.872
243424.341,1717574.588,387.872
243424.341,1717577.088,387.872
243426.841,1717574.588,385.372
243426.841,1717574.588,387.872
243426.841,1717577.088,387.872
243424.341,1717574.588,390.372
243424.341,1717574.588,392.872
243424.341,1717577.088,390.372
243424.341,1717577.088,392.872
243426.841,1717574.588,390.372
243426.841,1717574.588,392.872
243426.841,1717577.088,390.372
243426.841,1717577.088,392.872
243429.341,1717569.588,385.372
243429.341,1717569.588,387.872
243429.341,1717572.088,385.372
243429.341,1717572.088,387.872
243431.841,1717569.588,385.372
243431.841,1717569.588,387.872
243431.841,1717572.088,385.372
243431.841,1717572.088,387.872
243429.341,1717569.588,390.372
243429.341,1717569.588,392.872
